playlist_name,playlist_uri,playlist_tracks_url,playlist_num_tracks,snapshot_id,playlist_img,track_name,track_uri,artist_name,album_name,album_img,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,32,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Como Nossos Pais,4dIWbsYRqqTcLKf4bVU4kk,Elis Regina,Elis Regina Em Falso Brilhante,https://i.scdn.co/image/2a6784793fb33dc608ecce0f597367c0af169a23,61,0.51,0.401,D,-11.296,major,0.102,0.418,0,0.288,0.574,143.942,260493,3,D major
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,32,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Águas De Março,3GHRmXRGEJL8eJmtz927Zg,Antônio Carlos Jobim,Personalidade - Antonio Carlos Jobim,https://i.scdn.co/image/016ea193c173e40f1ae68dab651568fef99b0bfe,59,0.64,0.436,D#,-11.69,major,0.109,0.825,0,0.125,0.52,143.76,211227,4,D# major
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,32,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Só Tinha De Ser Com Você,4tb7A6O8cE2UzELRTwU3KZ,Elis Regina,Elis & Tom,https://i.scdn.co/image/e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,59,0.807,0.476,F,-11.606,major,0.0472,0.695,0.394,0.148,0.46,119.729,232333,4,F major
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,32,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,"Alô, alô marciano",6cLgUQGamTwyH7HhQbZyxQ,Elis Regina,Saudade do Brasil,https://i.scdn.co/image/461c964b744c36369d741ea9460b42d3659bb1b4,29,0.629,0.246,E,-17.182,minor,0.0702,0.74,7.65e-5,0.206,0.707,128.49,243467,4,E minor
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,32,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Madalena,5D02wWaZuuyD8WonzkTzx9,Elis Regina,Elis (Trilha Sonora Original Do Filme),https://i.scdn.co/image/b39e26abfffe8b02901e753d01a4f0ba3fff7a29,41,0.502,0.524,B,-10.234,minor,0.0717,0.267,0,0.334,0.762,86.581,163437,4,B minor
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,32,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,O Bêbado E A Equillibrista,3f8NfVKbknKfcJxWrn3fGe,Elis Regina,Elis (Trilha Sonora Original Do Filme),https://i.scdn.co/image/b39e26abfffe8b02901e753d01a4f0ba3fff7a29,5,0.37,0.52,F#,-9.593,minor,0.049,0.747,6.72e-6,0.193,0.244,92.306,225878,4,F# minor
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,32,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Fascinaçao,6hSsh8A723QAi8eeD3SGxR,Elis Regina,Elis (Trilha Sonora Original Do Filme),https://i.scdn.co/image/b39e26abfffe8b02901e753d01a4f0ba3fff7a29,40,0.338,0.164,G,-14.985,major,0.0321,0.926,4e-4,0.249,0.16,81.444,180711,4,G major
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,32,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Deus Lhe Pague - Ao Vivo,7uKS2ETw8SmVbgiXJwWDoO,Elis Regina,Elis (Trilha Sonora Original Do Filme),https://i.scdn.co/image/b39e26abfffe8b02901e753d01a4f0ba3fff7a29,30,0.388,0.909,D,-7.626,minor,0.0935,0.569,3.18e-5,0.691,0.686,150.144,207508,4,D minor
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,32,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Corcovado - Ao Vivo,5ZuflcK3btGRtK6fVKWaql,Elis Regina,Elis 70 Anos,https://i.scdn.co/image/91a524b022d28239d5c83bd71d43fbb3693c27e2,17,0.321,0.309,C,-16.595,major,0.125,0.916,9.58e-5,0.765,0.177,77.578,271240,4,C major
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,32,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Romaria,3mYNwlSG7Voq41eAnLNNIi,Elis Regina,"Elis, O Mito",https://i.scdn.co/image/ccff406d128f9bb6e8da3aa2bd1c665667681a90,17,0.421,0.261,D,-9.185,major,0.0346,0.767,0,0.158,0.315,177.065,247933,4,D major
